,Index No.,Mech,CS,Fluid,Maths,Material,Electric,SGPA,Rank
287,210325M,A+,A,A,A-,A+,A,3.935714285714286,3.0
223,210250D,A+,A,A+,A-,A+,A,3.935714285714286,3.0
543,210599E,A,A,A+,A-,A,A,3.935714285714286,3.0
30,210031H,A,A,A,A-,A,A+,3.935714285714286,3.0
612,210679B,A+,A,A,A-,A,A+,3.935714285714286,3.0
5,210005H,A,A-,A+,A,A+,A+,3.935714285714286,3.0
558,210620M,A+,A,A+,A-,A,A,3.935714285714286,3.0
403,210446J,A+,A+,A,A-,A,A+,3.935714285714286,3.0
23,210024N,A+,A,A+,A-,A+,A,3.935714285714286,3.0
549,210608J,A,A,A+,A-,A+,A,3.935714285714286,3.0
551,210610H,A+,A,A,A-,A+,A+,3.935714285714286,3.0
431,210479L,A,A+,A+,A-,A+,A,3.935714285714286,3.0
165,210190R,A,A,A,A,A,B+,3.9,4.0
330,210368V,A+,A-,A+,A,A-,A,3.892857142857143,5.0
216,210243J,A,A-,A+,A,A-,A,3.892857142857143,5.0
653,210732H,A+,A-,A+,A,A,A-,3.892857142857143,5.0
649,210728C,A,A,A+,A-,A,A-,3.892857142857143,5.0
550,210609M,A,A,A,A-,A,A-,3.892857142857143,5.0
326,210364F,A+,A-,A+,A,A-,A,3.892857142857143,5.0
491,210542B,A-,A+,A+,A-,A+,A,3.892857142857143,5.0
507,210560D,A-,A-,A,A+,A,A,3.892857142857143,5.0
151,210175C,A+,A-,A,A-,A+,A,3.8714285714285714,6.0
407,210450P,A,A-,A+,A-,A,A+,3.8714285714285714,6.0
408,210451U,A+,A-,A,A-,A,A,3.8714285714285714,6.0
179,210205V,A,A-,A+,A-,A,A,3.8714285714285714,6.0
588,210651H,A+,A-,A+,A-,A,A,3.8714285714285714,6.0
552,210612P,A,A-,A,A-,A,A,3.8714285714285714,6.0
589,210651H,A+,A-,A+,A-,A,A,3.8714285714285714,6.0
2,210001R,A,A-,A+,A-,A+,A,3.8714285714285714,6.0
563,210625H,A+,A-,A,A-,A+,A,3.8714285714285714,6.0
332,210371A,A+,A-,A+,A-,A,A,3.8714285714285714,6.0
225,210254T,A-,A,A,A,A+,B+,3.857142857142857,7.0
26,210027C,A+,A,A+,B+,A,A,3.85,8.0
631,210703V,A+,A,A,B+,A,A,3.85,8.0
484,210536K,A+,A+,A+,B+,A+,A+,3.85,8.0
392,210434V,A+,A,A,B+,A,A+,3.85,8.0
197,210224D,A+,A,A+,B+,A+,A,3.85,8.0
604,210669U,A,A,A+,B+,A,A,3.85,8.0
94,210108C,A,A,A,B+,A,A+,3.85,8.0
425,210471F,A+,A,A+,B+,A,A+,3.85,8.0
112,210131N,A+,A,A+,B+,A+,A,3.85,8.0
423,210469G,A+,B+,A+,A,A,A+,3.85,8.0
63,210071E,A,A,A+,B+,A+,A+,3.85,8.0
359,210400N,A,A-,A,A,A-,A-,3.85,8.0
17,210018B,A+,A,A+,B+,A,A,3.85,8.0
347,210386A,A,A,A+,B+,A,A+,3.85,8.0
122,210141U,A+,A,A+,B+,A,A+,3.85,8.0
24,210025T,A,A,A,B+,A+,A,3.85,8.0
121,210140P,A+,A,A+,B+,A,A,3.85,8.0
311,210349N,A,A,A+,B+,A,A,3.85,8.0
411,210454G,A,A,A,B+,A+,A+,3.85,8.0
637,210710N,A,A,A+,B+,A+,A,3.85,8.0
268,210303U,A+,A,A+,B+,A+,A+,3.85,8.0
363,210406M,A,A,B+,A-,A,A,3.835714285714286,9.0
242,210272V,A,A,B+,A-,A,A+,3.835714285714286,9.0
261,210294N,A,A-,A+,A-,A-,A,3.8285714285714287,10.0
378,210421E,A-,A-,A+,A-,A+,A,3.8285714285714287,10.0
173,210199D,A-,A-,A+,A-,A,A,3.8285714285714287,10.0
379,210421E,A-,A-,A+,A-,A+,A,3.8285714285714287,10.0
189,210215C,A,B+,A-,A,A,A,3.807142857142857,11.0
180,210206B,A,A,A+,B+,A-,A,3.807142857142857,11.0
585,210648F,A,A,A,B+,A,A-,3.807142857142857,11.0
253,210285M,A,B+,A+,A,A,A-,3.807142857142857,11.0
178,210204R,A+,B+,A+,A+,A,A-,3.807142857142857,11.0
527,210583B,A,A,A+,B+,A,A-,3.807142857142857,11.0
577,210640A,A,A,A,B+,A,A-,3.807142857142857,11.0
526,210583B,A,A,A+,B+,A,A-,3.807142857142857,11.0
307,210346D,A+,B+,A,A,A,A-,3.807142857142857,11.0
324,210362X,A,A,A+,B+,A,A-,3.807142857142857,11.0
599,210664B,A,A,A-,B+,A,A+,3.807142857142857,11.0
594,210657G,A-,A+,A+,B+,A,A,3.807142857142857,11.0
260,210293K,A,A,A+,A-,A-,B+,3.792857142857143,12.0
298,210335T,A+,A,A+,A-,A,B,3.792857142857143,12.0
3,210003B,A+,A,A,A-,A+,B,3.792857142857143,12.0
506,210559H,A-,A-,A+,A-,A-,A,3.7857142857142856,13.0
174,210200C,A,A+,A+,B,A+,A+,3.7857142857142856,13.0
391,210433R,A,A,A,B,A+,A,3.7857142857142856,13.0
186,210212N,A,A-,A+,B+,A,A,3.7857142857142856,13.0
207,210234H,A,A-,A+,B+,A,A,3.7857142857142856,13.0
219,210247B,A,B+,A+,A-,A,A,3.7857142857142856,13.0
232,210262P,A,A+,A,B,A+,A,3.7857142857142856,13.0
469,210517E,A,A-,A+,B+,A,A,3.7857142857142856,13.0
579,210642G,A+,B+,A+,A-,A,A+,3.7857142857142856,13.0
635,210707L,A,A,A,B,A,A,3.7857142857142856,13.0
467,210515V,A,A,A,B,A,A,3.7857142857142856,13.0
456,210503H,A+,A,A+,B,A,A,3.7857142857142856,13.0
451,210498T,A,A-,A+,B+,A+,A,3.7857142857142856,13.0
348,210387D,A+,A-,A,B+,A,A+,3.7857142857142856,13.0
351,210391J,A,A,A+,B,A+,A,3.7857142857142856,13.0
383,210425U,A,A,A+,B,A,A,3.7857142857142856,13.0
559,210621R,A+,A-,A+,B+,A+,A,3.7857142857142856,13.0
504,210557B,A-,A-,A-,A-,A,A+,3.7857142857142856,13.0
150,210173T,A+,A+,A,B,A,A,3.7857142857142856,13.0
271,210306G,A+,A,A+,B,A,A,3.7857142857142856,13.0
11,210011X,A,A,A+,B,A+,A+,3.7857142857142856,13.0
84,210097M,A,B+,A+,A-,A,A,3.7857142857142856,13.0
82,210095F,A+,A-,A,B+,A,A,3.7857142857142856,13.0
76,210088L,A+,A,A+,B,A+,A,3.7857142857142856,13.0
57,210063G,A,A,A+,B,A+,A+,3.7857142857142856,13.0
50,210055J,A,B+,A+,A-,A,A,3.7857142857142856,13.0
38,210041M,A+,A,A+,B,A+,A,3.7857142857142856,13.0
33,210035A,A,A,A,B,A,A+,3.7857142857142856,13.0
93,210106T,A,A,A+,B,A,A+,3.7857142857142856,13.0
15,210015M,A,A,A,B,A+,A,3.7857142857142856,13.0
513,210567F,A,A-,A+,A-,A,B+,3.771428571428572,14.0
184,210210G,A+,A-,A+,A-,A+,B+,3.771428571428572,14.0
104,210119K,A,A,A-,B+,A,A-,3.764285714285714,15.0
14,210014J,B+,A,A,A,A,B,3.757142857142857,16.0
427,210474R,A,A,B+,B+,A,A+,3.75,17.0
523,210580M,A+,A,A,A-,A,B-,3.75,17.0
126,210146N,A+,A,A+,B+,A,B+,3.75,17.0
250,210282C,A,B+,A+,A,B+,A,3.75,17.0
77,210089P,B+,A,A,B+,A+,A+,3.75,17.0
132,210152E,A,A-,A+,B+,A,A-,3.742857142857143,18.0
