Index_Number,CE1023,,CS1033,,EE1040,,MA1014,,ME1033,,MT1023,,SGPA,Rank,,,,,,,,,
,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,,,,,,,,,,,
210096J,B+,3.3,A,4,B+,3.3,,,,,A,4,3.6889,340,,,,,,,,,
210097M,A+,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210098R,A+,4,A-,3.7,A-,3.7,,,,,A+,4,3.8333,214,,,,,,,,,
210099V,A,4,A,4,A-,3.7,,,,,A-,3.7,3.8667,195,,,,,,,,,
210100U,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210101A,B-,2.7,C-,1.7,B-,2.7,,,,,A-,3.7,2.5889,690,,,,,,,,,
210102D,B+,3.3,A-,3.7,A-,3.7,,,,,A,4,3.6778,341,,,,,,,,,
210103G,B+,3.3,B-,2.7,I-we,0,,,,,B+,3.3,2.3667,702,,,,,,,,,
210104K,B,3,B+,3.3,A,4,,,,,A,4,3.5444,402,,,,,,,,,
210105N,B+,3.3,B-,2.7,B+,3.3,,,,,A,4,3.2556,549,,,,,,,,,
210106T,A+,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210107X,A+,4,B+,3.3,A+,4,,,,,A,4,3.7667,263,,,,,,,,,
210108C,A,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210109F,B+,3.3,A-,3.7,A,4,,,,,A,4,3.7444,296,,,,,,,,,
210110B,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210111E,B-,2.7,B-,2.7,B+,3.3,,,,,C+,2.3,2.7444,664,,,,,,,,,
210112H,A+,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210113L,A,4,A-,3.7,A+,4,,,,,A,4,3.9000,156,,,,,,,,,
210114P,A,4,B,3,B+,3.3,,,,,A,4,3.5111,431,,,,,,,,,
210115U,B,3,B-,2.7,B,3,,,,,I-we,0,2.2333,713,,,,,,,,,
210116A,A,4,A-,3.7,B+,3.3,,,,,A,4,3.7444,296,,,,,,,,,
210117D,A-,3.7,C+,2.3,B,3,,,,,C-,1.7,2.6333,679,,,,,,,,,
210118G,B+,3.3,B,3,B,3,,,,,B+,3.3,3.1333,592,,,,,,,,,
210119K,A-,3.7,A,4,A-,3.7,,,,,A,4,3.8667,195,,,,,,,,,
210120F,F,0,F,0,F,0,,,,,F,0,0.0000,738,,,,,,,,,
210121J,B+,3.3,B+,3.3,A+,4,,,,,A,4,3.6111,372,,,,,,,,,
210122M,A,4,B+,3.3,A-,3.7,,,,,A,4,3.7000,316,,,,,,,,,
210123R,B-,2.7,C,2,F,0,,,,,B-,2.7,1.8667,726,,,,,,,,,
210124V,A+,4,A-,3.7,A+,4,,,,,A,4,3.9000,156,,,,,,,,,
210125B,A+,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210126E,B,3,B,3,A-,3.7,,,,,A,4,3.3778,501,,,,,,,,,
210127H,B-,2.7,B-,2.7,B,3,,,,,A,4,3.0556,608,,,,,,,,,
210128L,B-,2.7,C+,2.3,A-,3.7,,,,,A-,3.7,3.0111,615,,,,,,,,,
210129P,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210130K,A,4,B,3,B+,3.3,,,,,A,4,3.5111,431,,,,,,,,,
210131N,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210132T,A,4,B,3,B,3,,,,,A,4,3.4444,468,,,,,,,,,
210133X,A,4,B,3,B+,3.3,,,,,A,4,3.5111,431,,,,,,,,,
210134C,A,4,A,4,A-,3.7,,,,,A+,4,3.9333,121,,,,,,,,,
210135F,B+,3.3,B,3,B-,2.7,,,,,A,4,3.2222,558,,,,,,,,,
210136J,A+,4,B+,3.3,B,3,,,,,A-,3.7,3.4778,445,,,,,,,,,
210137M,A-,3.7,B-,2.7,B-,2.7,,,,,A-,3.7,3.1444,589,,,,,,,,,
210138R,A,4,B+,3.3,A,4,,,,,A-,3.7,3.7000,316,,,,,,,,,
210139V,A,4,B+,3.3,A,4,,,,,A,4,3.7667,263,,,,,,,,,
210140P,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
