Index_Number,CE1023,,CS1033,,EE1040,,MA1014,,ME1033,,MT1023,,SGPA,Rank,,,,,,,,,
,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,,,,,,,,,,,
210585H,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210586L,C,2,F,0,C,2,,,,,C,2,1.3333,730,,,,,,,,,
210587P,A+,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210588U,A,4,A,4,A,4,,,,,B+,3.3,3.8444,199,,,,,,,,,
210589A,A,4,B-,2.7,A-,3.7,,,,,A,4,3.5000,439,,,,,,,,,
210590T,A,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210591X,B,3,B,3,A-,3.7,,,,,A,4,3.3778,501,,,,,,,,,
210592C,A,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210593F,I-we,0,C+,2.3,B-,2.7,,,,,B-,2.7,1.9667,722,,,,,,,,,
210594J,A+,4,B+,3.3,A,4,,,,,A-,3.7,3.7000,316,,,,,,,,,
210595M,A,4,B,3,A,4,,,,,A+,4,3.6667,354,,,,,,,,,
210596R,A,4,B-,2.7,A-,3.7,,,,,A,4,3.5000,439,,,,,,,,,
210597V,A+,4,B-,2.7,A-,3.7,,,,,B+,3.3,3.3444,517,,,,,,,,,
210598B,A-,3.7,A-,3.7,B+,3.3,,,,,A,4,3.6778,341,,,,,,,,,
210599E,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210600D,A,4,A-,3.7,A,4,,,,,A+,4,3.9000,156,,,,,,,,,
210601G,B-,2.7,C+,2.3,C+,2.3,,,,,A,4,2.7667,660,,,,,,,,,
210602K,A,4,B+,3.3,B+,3.3,,,,,B+,3.3,3.4556,457,,,,,,,,,
210603N,A-,3.7,B+,3.3,B+,3.3,,,,,B+,3.3,3.3889,493,,,,,,,,,
210604T,B-,2.7,B+,3.3,A,4,,,,,A,4,3.4778,445,,,,,,,,,
210605X,A+,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210606C,B,3,B,3,B+,3.3,,,,,A-,3.7,3.2222,558,,,,,,,,,
210607F,A,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210608J,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210609M,A,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210610H,A,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210611L,C+,2.3,A-,3.7,A-,3.7,,,,,A,4,3.4556,457,,,,,,,,,
210612P,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210613U,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210614A,A-,3.7,A-,3.7,A-,3.7,,,,,A-,3.7,3.7000,316,,,,,,,,,
210615D,A,4,B+,3.3,B,3,,,,,A-,3.7,3.4778,445,,,,,,,,,
210616G,B+,3.3,B-,2.7,A-,3.7,,,,,B+,3.3,3.1889,577,,,,,,,,,
210617K,B+,3.3,A-,3.7,B+,3.3,,,,,A-,3.7,3.5222,428,,,,,,,,,
210618N,B,3,B+,3.3,A,4,,,,,A-,3.7,3.4778,445,,,,,,,,,
210619T,I-we,0,I-we,0,F,0,,,,,F,0,0.0000,738,,,,,,,,,
210620M,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210621R,A+,4,A-,3.7,A,4,,,,,A+,4,3.9000,156,,,,,,,,,
210622V,A,4,B+,3.3,B,3,,,,,A,4,3.5444,402,,,,,,,,,
210623B,A+,4,B,3,B,3,,,,,A-,3.7,3.3778,501,,,,,,,,,
210624E,A+,4,A+,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210625H,A,4,A-,3.7,A,4,,,,,A+,4,3.9000,156,,,,,,,,,
210626L,A,4,A-,3.7,A-,3.7,,,,,B+,3.3,3.6778,341,,,,,,,,,
210627P,A,4,B+,3.3,B+,3.3,,,,,A,4,3.6111,372,,,,,,,,,
210628U,A-,3.7,C,2,B,3,,,,,B+,3.3,2.8889,638,,,,,,,,,
210629A,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210630T,A+,4,B+,3.3,B-,2.7,,,,,A,4,3.4778,445,,,,,,,,,
210631X,A-,3.7,B+,3.3,A-,3.7,,,,,A,4,3.6333,363,,,,,,,,,
210632C,A-,3.7,B,3,B,3,,,,,A,4,3.3778,501,,,,,,,,,
210633F,B-,2.7,B,3,B,3,,,,,A-,3.7,3.0889,605,,,,,,,,,
210634J,B-,2.7,C+,2.3,B,3,,,,,B-,2.7,2.6333,677,,,,,,,,,
210635M,B+,3.3,B-,2.7,B-,2.7,,,,,A,4,3.1222,593,,,,,,,,,
210636R,A+,4,A-,3.7,A+,4,,,,,A-,3.7,3.8333,214,,,,,,,,,
210637V,A,4,B,3,B+,3.3,,,,,A,4,3.5111,431,,,,,,,,,
210638B,B+,3.3,B,3,A-,3.7,,,,,A,4,3.4444,468,,,,,,,,,
210639E,A,4,A-,3.7,B,3,,,,,A,4,3.6778,341,,,,,,,,,
210640A,A,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210641D,A-,3.7,A,4,B,3,,,,,B,3,3.4889,444,,,,,,,,,
210642G,A+,4,B+,3.3,A+,4,,,,,A,4,3.7667,263,,,,,,,,,
210643K,B+,3.3,B-,2.7,A-,3.7,,,,,A-,3.7,3.2778,540,,,,,,,,,
210644N,B,3,A-,3.7,C+,2.3,,,,,A-,3.7,3.2333,554,,,,,,,,,
210645T,A,4,B,3,B-,2.7,,,,,A-,3.7,3.3111,529,,,,,,,,,
210646X,A,4,B-,2.7,B,3,,,,,B+,3.3,3.1889,577,,,,,,,,,
210647C,A+,4,A+,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210648F,A,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210649J,B+,3.3,B-,2.7,A,4,,,,,A,4,3.4111,483,,,,,,,,,
210650E,B-,2.7,B-,2.7,B+,3.3,,,,,B+,3.3,2.9667,622,,,,,,,,,
210651H,A+,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210652L,A+,4,A,4,B+,3.3,,,,,A+,4,3.8444,199,,,,,,,,,
210653P,A,4,A-,3.7,A,4,,,,,A-,3.7,3.8333,214,,,,,,,,,
210654U,A+,4,A-,3.7,A,4,,,,,A-,3.7,3.8333,214,,,,,,,,,
210655A,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210656D,A-,3.7,A,4,A+,4,,,,,B+,3.3,3.7778,244,,,,,,,,,
210657G,A+,4,A+,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210658K,C+,2.3,C-,1.7,C,2,,,,,C+,2.3,2.0333,720,,,,,,,,,
210659N,A+,4,B+,3.3,A+,4,,,,,A,4,3.7667,263,,,,,,,,,
210660J,B+,3.3,C,2,B+,3.3,,,,,B+,3.3,2.8667,640,,,,,,,,,
210661M,A+,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210662R,A,4,A-,3.7,A,4,,,,,A-,3.7,3.8333,214,,,,,,,,,
210663V,A+,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210664B,A-,3.7,A,4,A+,4,,,,,A,4,3.9333,121,,,,,,,,,
210665E,A+,4,A+,4,B+,3.3,,,,,A,4,3.8444,199,,,,,,,,,
210666H,A,4,A-,3.7,A-,3.7,,,,,A-,3.7,3.7667,263,,,,,,,,,
210667L,A-,3.7,B-,2.7,A-,3.7,,,,,A,4,3.4333,481,,,,,,,,,
210668P,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210669U,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210670N,A,4,A+,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210671T,B,3,B,3,A-,3.7,,,,,B+,3.3,3.2222,558,,,,,,,,,
210672X,B+,3.3,B,3,A,4,,,,,B,3,3.2889,535,,,,,,,,,
210673C,A,4,A-,3.7,B,3,,,,,A+,4,3.6778,341,,,,,,,,,
210674F,A,4,B,3,A-,3.7,,,,,A-,3.7,3.5333,420,,,,,,,,,
210675J,A+,4,A-,3.7,B+,3.3,,,,,A-,3.7,3.6778,341,,,,,,,,,
210676M,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210677R,B+,3.3,B-,2.7,B-,2.7,,,,,B+,3.3,2.9667,622,,,,,,,,,
210678V,B-,2.7,C,2,B+,3.3,,,,,B,3,2.6667,674,,,,,,,,,
210679B,A,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210680U,F,0,F,0,F,0,,,,,F,0,0.0000,738,,,,,,,,,
210681A,B,3,B-,2.7,B-,2.7,,,,,B,3,2.8333,642,,,,,,,,,
210682D,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210683G,B,3,C+,2.3,C+,2.3,,,,,B+,3.3,2.6778,672,,,,,,,,,
210684K,B+,3.3,A-,3.7,B,3,,,,,A-,3.7,3.4556,457,,,,,,,,,
210685N,A+,4,A+,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210686T,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210687X,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210688C,A-,3.7,A-,3.7,A-,3.7,,,,,A,4,3.7667,263,,,,,,,,,
210689F,A-,3.7,B-,2.7,B,3,,,,,A,4,3.2778,540,,,,,,,,,
210690B,A,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210691E,A,4,B,3,B-,2.7,,,,,A,4,3.3778,501,,,,,,,,,
210692H,A-,3.7,B-,2.7,B+,3.3,,,,,B-,2.7,3.0556,608,,,,,,,,,
210693L,B+,3.3,C,2,C+,2.3,,,,,B-,2.7,2.5111,695,,,,,,,,,
210694P,C,2,C,2,C+,2.3,,,,,B+,3.3,2.3556,703,,,,,,,,,
210695U,A+,4,A-,3.7,A-,3.7,,,,,A-,3.7,3.7667,263,,,,,,,,,
210696A,A-,3.7,B,3,A,4,,,,,A,4,3.6000,389,,,,,,,,,
210697D,A,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210698G,B+,3.3,B-,2.7,B-,2.7,,,,,B-,2.7,2.8333,642,,,,,,,,,
210699K,A+,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210700J,B,3,B+,3.3,A,4,,,,,A,4,3.5444,402,,,,,,,,,
210701M,A,4,B-,2.7,A-,3.7,,,,,A-,3.7,3.4333,482,,,,,,,,,
210702R,B,3,B,3,A-,3.7,,,,,A,4,3.3778,501,,,,,,,,,
210703V,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210704B,I-we,0,B,3,C,2,,,,,A-,3.7,2.2667,708,,,,,,,,,
210705E,A-,3.7,A-,3.7,A-,3.7,,,,,A-,3.7,3.7000,316,,,,,,,,,
210706H,A-,3.7,B+,3.3,A,4,,,,,B+,3.3,3.5444,402,,,,,,,,,
210707L,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210708P,A+,4,A,4,A-,3.7,,,,,B+,3.3,3.7778,244,,,,,,,,,
210709U,B,3,C,2,B+,3.3,,,,,B+,3.3,2.8000,655,,,,,,,,,
210710N,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210711T,A+,4,A-,3.7,A-,3.7,,,,,A+,4,3.8333,214,,,,,,,,,
210712X,B-,2.7,C,2,C,2,,,,,B-,2.7,2.3111,705,,,,,,,,,
210713C,B,3,B+,3.3,C+,2.3,,,,,B,3,2.9444,628,,,,,,,,,
210714F,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210715J,A,4,B-,2.7,B+,3.3,,,,,A,4,3.4111,483,,,,,,,,,
210716M,A-,3.7,B-,2.7,B+,3.3,,,,,A,4,3.3444,517,,,,,,,,,
210717R,A-,3.7,B-,2.7,C+,2.3,,,,,A,4,3.1222,593,,,,,,,,,
210718V,C+,2.3,C+,2.3,C,2,,,,,C,2,2.1667,716,,,,,,,,,
210719B,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210720U,A+,4,A+,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210721A,B,3,A-,3.7,B+,3.3,,,,,A,4,3.5222,428,,,,,,,,,
210722D,A-,3.7,C+,2.3,B-,2.7,,,,,B-,2.7,2.7889,658,,,,,,,,,
210723G,B,3,B+,3.3,B+,3.3,,,,,A-,3.7,3.3222,521,,,,,,,,,
210724K,A+,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210725N,B,3,C,2,B-,2.7,,,,,C+,2.3,2.4444,698,,,,,,,,,
210726T,A+,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210727X,B-,2.7,B+,3.3,B+,3.3,,,,,B+,3.3,3.1667,585,,,,,,,,,
210728C,A+,4,A,4,A-,3.7,,,,,A,4,3.9333,121,,,,,,,,,
210729F,A+,4,B,3,B+,3.3,,,,,B-,2.7,3.2222,558,,,,,,,,,
210730B,A,4,A-,3.7,B+,3.3,,,,,A,4,3.7444,296,,,,,,,,,
210731E,I-we,0,C-,1.7,C,2,,,,,I-we,0,1.0111,733,,,,,,,,,
210732H,A+,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210733L,A+,4,B,3,A,4,,,,,A,4,3.6667,354,,,,,,,,,
210734P,A+,4,A,4,B+,3.3,,,,,A,4,3.8444,199,,,,,,,,,
210735U,B+,3.3,A,4,B,3,,,,,A,4,3.6222,369,,,,,,,,,
210736A,A-,3.7,C+,2.3,C+,2.3,,,,,B+,3.3,2.8333,642,,,,,,,,,
210737D,C+,2.3,C+,2.3,I-we,0,,,,,B-,2.7,1.8778,725,,,,,,,,,
210738G,A,4,B+,3.3,C+,2.3,,,,,B+,3.3,3.2333,554,,,,,,,,,
210739K,I-we,0,C-,1.7,C,2,,,,,B-,2.7,1.6111,728,,,,,,,,,
210740F,A-,3.7,A-,3.7,B,3,,,,,A-,3.7,3.5444,402,,,,,,,,,
210741J,I-we,0,D,1,C,2,,,,,C+,2.3,1.2889,732,,,,,,,,,
210742M,A,4,B-,2.7,A,4,,,,,A,4,3.5667,399,,,,,,,,,
210743R,B+,3.3,C,2,B,3,,,,,B+,3.3,2.8000,655,,,,,,,,,
210744V,B-,2.7,C+,2.3,I-we,0,,,,,B-,2.7,1.9667,722,,,,,,,,,
